Shape,Id,X_mid,Y_mid,Nummer,Varslope,Wtravgdist,Ecodistavg,Length,Tr no,pchscr
Shape,1,76.0537,12.2228,261,1.9993,744,219,1162.081,1,2
Shape,1,76.0537,12.2228,262,1.1607,1730,228,792.256,1,2
Shape,1,76.0537,12.2228,346,1.8688,827,196,802.417,1,2
Shape,1,76.0537,12.2228,347,1.9563,1124,224,436.162,1,2
Shape,2,76.0807,12.1996,519,1.2198,514,132,1133.373,2,2
Shape,2,76.0807,12.1996,603,2.7388,734,175,432.946,2,2
Shape,2,76.0807,12.1996,604,2.3377,485,96,937.344,2,2
Shape,2,76.0807,12.1996,518,0.9447,799,156,194.356,2,2
Shape,2,76.0807,12.1996,518,0.9447,799,156,494.996,2,2
Shape,3,76.1286,12.1937,524,1.0818,688,221,41.983,3,2
Shape,3,76.1286,12.1937,608,1.3318,248,252,495.251,3,2
Shape,3,76.1286,12.1937,694,0.9287,1164,281,298.307,3,2
Shape,3,76.1286,12.1937,609,1.2666,328,273,389.497,3,2
Shape,3,76.1286,12.1937,609,1.2666,328,273,1411.075,3,2
Shape,3,76.1286,12.1937,609,1.2666,328,273,556.9,3,2
Shape,4,76.1018,12.172,775,0.8419,772,200,233.81,4,3
Shape,4,76.1018,12.172,777,1.2011,1772,223,37.623,4,3
Shape,4,76.1018,12.172,861,2.2165,375,168,1404.404,4,3
Shape,4,76.1018,12.172,862,1.2487,1137,204,87.476,4,3
Shape,4,76.1018,12.172,776,1.4304,1349,196,6.225,4,3
Shape,4,76.1018,12.172,776,1.4304,1349,196,1423.441,4,3
Shape,5,76.1497,12.1661,867,0.8031,990,275,754.534,5,3
Shape,5,76.1497,12.1661,951,1.0279,957,295,427.306,5,3
Shape,5,76.1497,12.1661,866,0.5753,804,280,1784.277,5,3
Shape,5,76.1497,12.1661,866,0.5753,804,280,226.946,5,3
Shape,6,76.1229,12.1444,1033,1.5382,658,215,1109.034,6,2
Shape,6,76.1229,12.1444,1034,1.0951,1196,260,478.516,6,2
Shape,6,76.1229,12.1444,1118,1.8913,1163,217,1068.515,6,2
Shape,6,76.1229,12.1444,1119,1.445,1262,253,536.926,6,2
