tr.no,tr length,cht.count,cht.kmwalk,slope.var,wtr.dist,eco.dist,poach.level,SBRpalplants.m2,SBRpercent.palplants,habitat.disturb,thabitat.disturb.km
1,18.96,6,0.316455696,1.75,1106.25,216.75,2,14.9771875,0.73804244,0.021,101.8987342
2,19.2,6,0.3125,1.64,666.2,143,2,16.968125,0.709133532,0.03,147.96875
3,18.99,0,0,1.19,514,262.17,2,16.27789063,0.693628553,0.088,434.3865192
4,19.302,6,0.310848617,1.39,1125.67,197.83,3,14.02359375,0.576296653,0.216,1068.179463
5,17.286,2,0.115700567,0.75,888.75,282.5,3,59.330625,0.795291703,0.153,757.7808631
6,19.26,3,0.15576324,1.49,1069.75,236.25,2,6.9053125,0.482577884,0.02,96.67705088
7,19.254,12,0.623247117,2.2,1081.6,95.6,2,11.43132813,0.676066165,0.008,38.32969773
8,19.228,0,0,1.48,440.25,297.5,2,39.26570313,0.664560335,0.015,74.73476181
9,19.332,0,0,1.72,1194.5,257.5,2,21.85914063,0.807637131,0.024,118.4564453
10,19.176,2,0.104297038,2.04,1733.83,197.33,1,13.87414063,0.795678161,0.015,75.51105549
11,18.08,15,0.829646018,1.8,796.5,101,1,10.5625,0.693770943,0.005,22.78761062
12,19.53,2,0.102406554,1.5,2259.4,312,3,63.615625,0.622493015,0.023,114.6441372
13,19.464,5,0.256884505,2,345.9,198.9,1,11.65601563,0.592401857,0.004,19.06083025
14,19.14,0,0,1.25,436.63,226.13,1,18.00242188,0.76290793,0.005,24.39916405
15,19.204,42,2.187044366,1.98,816.75,186,1,76.2140625,0.637214686,0.034,168.4024162
16,19.056,18,0.944584383,1.87,333,105.5,2,49.4503125,0.717998745,0.004,18.41939547
17,19.41,2,0.10303967,0.92,2105.5,310.75,3,28.4803125,0.450989076,0.17,843.74034
18,19.2,3,0.15625,1.03,899.75,333,2,12.83664063,0.514942867,0.012,60.36458333
19,18.852,8,0.424358158,0.92,799.67,274.83,1,98.96882813,0.823917926,0.001,6.630596223
20,19.374,9,0.464540105,1.22,790.4,57.2,1,32.7775,0.641659083,0.012,60.75152266
21,19.218,22,1.144760121,2.12,749,98.75,1,14.12304688,0.394490768,0.051,252.263503
22,19.2,11,0.572916667,0.66,365.75,293.5,2,38.34414063,0.625173551,0.081,400.5208333
23,19.2,1,0.052083333,0.83,450,305,2,23.87109375,0.451484113,0.135,671.1458333
24,18.888,4,0.211774672,0.73,394.5,263,1,51.64367188,0.645221397,0.062,305.2731893
25,19.044,7,0.367569838,0.9,1665.5,158,1,136.54,0.847828512,0.004,18.69355177
26,18.978,10,0.526925914,0.97,1303.6,206.6,1,46.97023438,0.725187654,0.023,115.4494678
27,5.4,2,0.37037037,0.78,58.5,1377,3,80.90175,0.768648102,0.086,424.6296296
28,19.5,1,0.051282051,0.75,230.2,219.2,3,50.01179688,0.714458228,0.177,875.2307692
29,19.162,5,0.260933097,0.79,920,127.75,1,26.29945313,0.627781943,0.021,103.9035591
30,19.344,21,1.08560794,1.35,1287.17,172.17,1,92.244375,0.794536956,0.094,465.8808933
31,19.2,6,0.3125,1.31,617.67,117,1,155.99625,0.844156607,0.033,163.4895833
32,13.8,5,0.362318841,2.05,3639.67,79.5,2,150.7302273,0.810284498,0.02,100.2173913
33,19.144,2,0.104471375,0.74,2132.75,260.25,3,33.75109375,0.542596188,0.145,718.240702
34,19.2,19,0.989583333,1.37,1209.75,51,2,21.0159375,0.461713532,0.11,542.7604167
35,18.9,5,0.264550265,1.83,301,126.5,3,43.18632813,0.752399632,0.086,426.4550265
36,19.2,13,0.677083333,2.12,3298.67,123.67,1,129.5690625,0.879420409,0.083,411.8229167
37,19.2,6,0.3125,15.11,2880.5,39,1,75.20671875,0.768677221,0.035,175.3125
38,8.4,8,0.952380952,2.23,50.25,1213.5,2,199.5533929,0.794495333,0.095,469.8809524
39,18.6,6,0.322580645,1.85,883.43,247.43,3,94.08195313,0.772852681,0.255,1264.677419
41,13.23,0,0,1.74,1457.29,301.43,3,44.0328125,0.65100882,0.09,446.1073318
42,22.351,30,1.342221825,10.87,1496.5,299,1,66.986875,0.890181788,0.101,498.4117042
