park,tr.no,walk.no,animal.location,rep.length.walked,total.tr.length,species,gr.sz,p.dist,relative.habitat.disturb
NH,1,1,1.9,3.160,18.960,LGR,3,45.63792029,0.020301368
NH,1,1,2.0,3.160,18.960,LGR,1,93.6812457,0.020301368
NH,1,1,2.0,3.160,18.960,BNT,1,70.15464466,0.020301368
NH,1,1,2.0,3.160,18.960,GSQ,1,41.45187863,0.020301368
NH,1,1,2.3,3.160,18.960,GSQ,2,6.819983601,0.020301368
NH,1,1,2.3,3.160,18.960,GSQ,2,24.43200814,0.020301368
NH,1,1,0.2,3.160,18.960,CHT,6,8.395595797,0.020301368
NH,1,2,1.0,3.160,18.960,SBR,1,3.757673726,0.020301368
NH,1,2,1.4,3.160,18.960,BNT,3,9.724297949,0.020301368
NH,1,2,2.2,3.160,18.960,GSQ,1,5.821527343,0.020301368
NH,1,2,2.3,3.160,18.960,GSQ,3,40.44573208,0.020301368
NH,1,3,1.2,3.160,18.960,GSQ,1,21.94061105,0.020301368
NH,1,3,1.7,3.160,18.960,SBR,1,17.61649324,0.020301368
NH,1,3,2.0,3.160,18.960,CHT,1,1.743911844,0.020301368
NH,1,3,2.3,3.160,18.960,GSQ,1,44.75348529,0.020301368
NH,1,3,3.1,3.160,18.960,LGR,12,54.77626564,0.020301368
NH,1,3,0.2,3.160,18.960,GSQ,1,39.86019102,0.020301368
NH,1,4,1.9,3.160,18.960,ELP,3,14.98426374,0.020301368
NH,1,4,2.2,3.160,18.960,GSQ,2,41.08219923,0.020301368
NH,1,4,2.3,3.160,18.960,CHT,1,13.19850904,0.020301368
NH,1,4,2.4,3.160,18.960,MJK,1,3.534498744,0.020301368
NH,1,4,3.0,3.160,18.960,GSQ,1,21.84345885,0.020301368
NH,1,4,0.4,3.160,18.960,GSQ,1,38.33450448,0.020301368
NH,1,5,1.6,3.160,18.960,GAR,3,20.13094452,0.020301368
NH,1,5,0.4,3.160,18.960,CHT,8,50.06298636,0.020301368
NH,1,5,0.7,3.160,18.960,LGR,17,50.62776694,0.020301368
NH,1,6,1.4,3.160,18.960,LGR,2,56,0.020301368
NH,1,6,2.0,3.160,18.960,GSQ,2,43.14211422,0.020301368
NH,1,6,2.2,3.160,18.960,CHT,4,25.95406579,0.020301368
NH,1,6,2.2,3.160,18.960,GSQ,1,11.69756803,0.020301368
